2.478027343750636459e-05 5.493164062533329273e-07 7.159153482704393168e-02 3.638866922653497676e-02 7.156675455360642091e-02 3.638811991012872588e-02 6.361352610535080633e-18 3.332991737799713441e-18 3.253400959826228657e-18
2.606201171875638606e-05 8.544921875033490802e-07 7.191832273538516229e-02 3.655797532769301805e-02 7.189226072366640408e-02 3.655712083550551744e-02 6.385120395824509539e-18 3.349144821006730817e-18 3.268641967688384039e-18
3.204345703125637782e-05 1.525878906253361747e-06 7.226331572485206189e-02 3.675097518665807611e-02 7.223127226782080634e-02 3.674944930775182056e-02 6.374985521747838712e-18 3.361910610684005179e-18 3.288969035264916760e-18
3.448486328125638676e-05 2.258300781253377009e-06 7.265636629943304781e-02 3.697385437965380189e-02 7.262188143615179448e-02 3.697159607887254978e-02 6.381198091850350625e-18 3.377152931449560680e-18 3.307588195529202627e-18
3.857421875000634296e-05 2.441406250003401312e-06 7.307810250991012002e-02 3.721460360761513764e-02 7.303952829116011625e-02 3.721216220136513292e-02 6.347337177586429268e-18 3.401070957264671728e-18 3.333303201179916696e-18
4.479980468750633494e-05 2.197265625003424388e-06 7.351866828296099721e-02 3.745485807603338158e-02 7.347386847827348799e-02 3.745266081040837802e-02 6.335266650769076725e-18 3.424175106349013481e-18 3.355686594980116620e-18
5.157470703125631385e-05 2.197265625003444717e-06 7.394103352073004565e-02 3.770745675716187517e-02 7.388945881369879398e-02 3.770525949153687162e-02 6.314498169372208864e-18 3.445027953625012838e-18 3.373046617345464086e-18
6.079101562500627460e-05 3.723144531253467248e-06 7.443360530841572342e-02 3.798054099849609150e-02 7.437281429279071765e-02 3.797681785396483933e-02 6.275914138616028977e-18 3.466396276206685157e-18 3.401625166696376295e-18
6.677246093750625281e-05 4.699707031253490562e-06 7.496824631103964076e-02 3.827279297535472052e-02 7.490147385010213765e-02 3.826809326832346370e-02 6.252848290354750741e-18 3.490397862642327911e-18 3.432237433907840828e-18
8.172607421875616445e-05 7.202148437503502102e-06 7.550854229642860183e-02 3.858564384437436490e-02 7.542681622220984150e-02 3.857844169593686173e-02 6.155445772789677723e-18 3.502279609515686151e-18 3.475806883442638180e-18
9.197998046875610579e-05 7.202148437503529207e-06 7.608085785194122763e-02 3.893100786232873978e-02 7.598887787147247386e-02 3.892380571389123661e-02 6.103886677465478759e-18 3.529587836834260393e-18 3.502261965372333020e-18
